url,img,title,address,room,square,floor,type,price
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/aenme.html,https://i.ss.com/gallery/6/1173/293129/58625637.th2.jpg,"Samazināta cena. Tikai pastaigas attālumā no Jūras, saulains",KauguriTallinas 11,1,38,03/05/24,Specpr.,42790
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mlcdb.html,https://i.ss.com/gallery/6/1141/285241/57048181.th2.jpg,В продаже трёхкомнатная квартира в элитном проекте Турайдас,DzintariTuraidas 17,3,96,02/04/24,Jaun.,275000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/ighhi.html,https://i.ss.com/gallery/5/965/241233/48246574.th2.jpg,Новый проект Dzintaru Pērle – сдан в эксплуатацию в 2022 год,DzintariRīgas 47,3,79,02/03/24,Jaun.,262000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/ndmpx.html,https://i.ss.com/gallery/6/1052/262797/52559223.th2.jpg,"Pārdod divstāvīgu trīs istabu dzīvokli Bulduros. Dzīvokļa",BulduriBrīvības pr. 104,3,75,03/03/24,Specpr.,149000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/gglbk.html,https://i.ss.com/gallery/6/1170/292428/58485466.th2.jpg,"Pārdodu 1istabas dzīvokli ar izpirkumu Kauguru centrā, vidus",KauguriSkolas 16 70,1,39,05/05/24,Renov.,21000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/ahhxx.html,https://i.ss.com/gallery/6/1173/293064/58612795.th2.jpg,"Продаю квартиру с хорошим ремонтом, делали для себя, с нотка",KauguriSkolas 65v,1,38,01/09/24,602,60000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/bliff.html,https://i.ss.com/gallery/6/1159/289678/57935501.th2.jpg,"Продается квартира 53, 2 м2, на 3 этаже, в одном из последни",KauguriTerbatas 43,2,53,03/05/24,103,60900
https://www.ss.com/msg/lv/real-estate/flats/jurmala/majori/bjepp.html,https://i.ss.com/gallery/6/1138/284377/56875323.th2.jpg,"Lielisks dzīvokļa piedāvājums Jūrmalā, Majoros, ar skatu uz",MajoriTeātra 67A,1,58,03/03/24,Jaun.,124000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/depbk.html,https://i.ss.com/gallery/6/1153/288113/57622507.th2.jpg,"Продаю трехкомнатную, квартиру с террасой в Юрмале, район Ли",LielupeOskara Kalpaka 6,3,77,01/03/24,Jaun.,250000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/asari/bghxol.html,https://i.ss.com/gallery/6/1173/293034/58606660.th2.jpg,"Абсолютно новые апартаменты на берегу моря в Юрмале. Про",AsariDzimtenes 1,3,140,02/04/24,Jaun.,800000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdpipk.html,https://i.ss.com/gallery/6/1074/268404/53680686.th2.jpg,"Tiek pārdots patiesi plašs un ērts dzīvoklis Dzintaros, šis",DzintariMadonas 5,2,96,01/04/24,Jaun.,275000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mkpog.html,https://i.ss.com/gallery/6/1160/289777/57955205.th2.jpg,Lat/rus/ Attīstītājs piedāvā augstvērtīga dizaina apartament,DzintariMežaparka pr. 10,2,79,01/02/24,Jaun.,239870
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mldlg.html,https://i.ss.com/gallery/6/1067/266703/53340539.th2.jpg,"Lat:rus: Attīstītājs piedāvā augstvērtīga dizaina apartame",DzintariMežaparka pr. 10,3,105,02/02/24,Jaun.,376520
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/dioxg.html,https://i.ss.com/gallery/6/1099/274679/54935732.th2.jpg,"Saulains 3 istabu dzīvoklis unikālā vietā pie upes, blakus p",LielupeLašu 5,3,82,01/05/24,Specpr.,110000
